timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1672065957913,2263,GET SELLER PRODUCT BY ID,200,OK,Thread Group Normal Test 1-81,text,false,"The operation lasted too long: It took 2,263 milliseconds, but should not have lasted longer than 1,000 milliseconds.",709,414,91,91,https://market-final-project.herokuapp.com/seller/product/44198,2262,0,0
1672065959466,709,GET BUYER PRODUCT,200,OK,Thread Group Normal Test 1-98,text,true,,4903,440,91,91,https://market-final-project.herokuapp.com/buyer/product?page=5&per_page=10&category_id=1,705,0,0
1672065959675,503,POST BUYER ORDER,400,Bad Request,Thread Group Normal Test 1-17,text,false,,349,482,91,91,https://market-final-project.herokuapp.com/buyer/order,503,0,0
1672065958532,1647,GET BUYER ORDER BY BUYER ORDER ID,200,OK,Thread Group Normal Test 1-40,text,false,"The operation lasted too long: It took 1,647 milliseconds, but should not have lasted longer than 1,000 milliseconds.",276,406,91,91,https://market-final-project.herokuapp.com/buyer/order/,1647,0,0
1672065957880,2306,GET SELLER PRODUCT BY ID,200,OK,Thread Group Normal Test 1-29,text,false,"The operation lasted too long: It took 2,306 milliseconds, but should not have lasted longer than 1,000 milliseconds.",709,414,91,91,https://market-final-project.herokuapp.com/seller/product/44186,2306,0,0
1672065959259,945,GET BUYER PRODUCT BY BUYER PRODUCT ID,200,OK,Thread Group Normal Test 1-93,text,true,,931,413,91,91,https://market-final-project.herokuapp.com/buyer/product/28172,945,0,0
1672065959314,896,GET BUYER PRODUCT BY BUYER PRODUCT ID,200,OK,Thread Group Normal Test 1-66,text,true,,931,413,91,91,https://market-final-project.herokuapp.com/buyer/product/28172,896,0,0
1672065959345,879,GET BUYER PRODUCT BY BUYER PRODUCT ID,200,OK,Thread Group Normal Test 1-91,text,true,,931,413,91,91,https://market-final-project.herokuapp.com/buyer/product/28172,879,0,0
1672065958728,1504,GET BUYER ORDER,200,OK,Thread Group Normal Test 1-32,text,false,"The operation lasted too long: It took 1,504 milliseconds, but should not have lasted longer than 1,000 milliseconds.",276,405,91,91,https://market-final-project.herokuapp.com/buyer/order,1504,0,0
1672065959342,915,PUT BUYER ORDER BY BUYER ORDER ID,404,Not Found,Thread Group Normal Test 1-6,text,false,,464,454,91,91,https://market-final-project.herokuapp.com/buyer/order/,914,0,0
